26429,23872,2557,10.71,279.87,192.192
30047,28148,1899,6.75,323.08,221.864
30343,28452,1891,6.65,336.597,231.146
30301,28490,1811,6.36,339.02,232.81
27957,26054,1903,7.3,315.825,216.882
26950,24617,2333,9.48,295.08,202.637
30336,28536,1800,6.31,330.919,227.247
30562,28719,1843,6.42,340.713,233.974
30595,28641,1954,6.82,339.42,233.086
30853,29006,1847,6.37,345.741,237.426
30682,28798,1884,6.54,345.312,237.131
28402,25905,2497,9.64,316.377,217.261
27027,24629,2398,9.74,295.069,202.629
30093,28348,1745,6.16,330.529,226.979
30731,28887,1844,6.38,341.979,234.843
30498,28649,1849,6.45,338.771,232.64
30328,28395,1933,6.81,337.237,231.587
29691,27756,1935,6.97,333.578,229.073
28431,26477,1954,7.38,323.444,222.114
27138,24539,2599,10.59,293.809,201.764
29654,27739,1915,6.9,324.539,222.866
30061,28140,1921,6.83,334.246,229.532
29776,27838,1938,6.96,333.761,229.199
29735,27863,1872,6.72,334.577,229.76
29202,27296,1906,6.98,332.047,228.022
27817,25282,2535,10.03,307.745,211.333
26506,24414,2092,8.57,291.033,199.857
29363,27557,1806,6.55,322.911,221.749
29690,27858,1832,6.58,331.844,227.883
29570,27760,1810,6.52,331.523,227.663
29071,27181,1890,6.95,326.577,224.266
26857,24709,2148,8.69,301.346,228.434
25623,23382,2241,9.58,278.967,211.47
24953,22915,2038,8.89,267.929,203.103
22777,20214,2563,12.68,246.263,186.679
22325,19992,2333,11.67,235.887,178.814
22258,19936,2322,11.65,237.257,179.852
23045,20938,2107,10.06,243.67,184.713
24696,21581,3115,14.43,253.768,192.369
25572,22436,3136,13.98,262.905,199.294
26259,23236,3023,13.01,268.156,203.276
28942,26667,2275,8.53,308.329,233.729
29628,27768,1860,6.7,327.839,248.517
29614,27699,1915,6.91,333.045,252.465
30193,28250,1943,6.88,335.846,254.587
30221,28262,1959,6.93,337.226,255.633
27858,25432,2426,9.54,311.235,235.932
27016,24343,2673,10.98,289.13,219.174
30407,28645,1762,6.15,330.202,250.309
30767,28876,1891,6.55,342.868,259.911
30916,29078,1838,6.32,346.477,262.647
30725,28912,1813,6.27,346.271,262.49
30290,28420,1870,6.58,340.97,258.472
28452,26723,1729,6.47,324.355,245.877
26464,24694,1770,7.17,294.814,223.484
29838,28084,1754,6.24,326.311,247.36
30208,28390,1818,6.4,336.45,255.045
29916,28013,1903,6.79,336.677,255.217
27902,25472,2430,9.54,310.838,235.63
27060,24689,2371,9.6,299.202,201.362
26567,24734,1833,7.41,296.127,199.292
26326,24102,2224,9.23,288.39,194.085
29583,27688,1895,6.84,322.631,217.129
30195,28241,1954,6.92,336.545,226.494
29954,28032,1922,6.86,337.025,226.816
30015,28147,1868,6.64,336.383,226.384
29767,27951,1816,6.5,335.859,226.032
28061,25870,2191,8.47,314.352,211.558
26624,24801,1823,7.35,295.376,198.787
29524,27730,1794,6.47,326.54,219.761
29815,27936,1879,6.73,334.596,225.182
30068,28145,1923,6.83,337.439,227.096
30197,28417,1780,6.26,338.919,228.092
29685,27757,1928,6.95,335.598,225.857
27836,25318,2518,9.95,309.487,208.283
26971,24681,2290,9.28,291.782,196.368
30093,28338,1755,6.19,331.873,223.349
30687,28882,1805,6.25,345.332,232.408
31489,29645,1844,6.22,351.897,236.826
32310,30343,1967,6.48,358.451,241.236
31959,29618,2341,7.9,352.322,237.112
27349,25265,2084,8.25,312.816,210.524
26671,24812,1859,7.49,294.599,198.264
30388,28535,1853,6.49,333.343,224.339
30643,28756,1887,6.56,342.917,230.782
31073,29140,1933,6.63,348.038,234.228
31985,30093,1892,6.29,356.775,240.109
31728,29673,2055,6.92,354.27,238.422
27965,25810,2155,8.35,317.793,213.873
26763,24466,2297,9.39,296.502,199.545
29772,27842,193,6.93,322.237,218.052
30275,28359,191.5,6.75,332.233,224.816
30387,28483,190.5,6.69,334.523,226.366
28003,25663,234,9.12,308.423,208.704
26414,24542,187.2,7.63,289.731,196.055
26649,24966,168.3,6.74,291.974,197.573
27018,25240,177.8,7.04,292.531,197.951
32368,30399,196.9,6.48,343.332,232.326
33496,31532,196.4,6.23,361.969,244.938
33863,31709,215.4,6.79,363.597,246.039
32620,30541,207.9,6.81,353.842,239.438
31053,29035,201.8,6.95,341.524,231.103
28206,26446,176,6.66,318.247,215.352
28065,25537,252.8,9.9,302.953,205.003
30735,28749,198.6,6.91,331.727,224.473
30894,29017,187.7,6.47,339.368,229.644
31615,29565,205,6.93,343.38,232.359
32338,30335,200.3,6.6,350.574,237.226
32668,30748,192,6.24,351.817,238.068
28787,26910,187.7,6.98,322.525,218.247
28604,26306,229.8,8.74,308.722,208.906
33948,31955,199.3,6.24,358.61,242.664
35207,33181,202.6,6.11,375.742,254.258
35266,33263,200.3,6.02,380.015,257.149
35424,33134,229,6.91,380.781,257.667
34916,32664,225.2,6.89,376.868,255.02
29369,27376,199.3,7.28,336.58,227.757
28688,26948,174,6.46,317.806,215.053
35058,32847,221.1,6.73,367.385,248.603
35309,33099,221,6.68,378.092,255.847
29919,26826,3093,11.53,324.099,232.905
31373,28690,2683,9.35,332.184,238.715
31631,28315,3316,11.71,329.559,236.829
28938,25819,3119,12.08,305.945,219.859
27591,25336,2255,8.9,293.362,210.817
31019,28615,2404,8.4,327.298,235.205
31081,28472,2609,9.16,330.933,237.817
31108,28968,2140,7.39,335.394,241.022
31441,29229,2212,7.57,339.614,244.055
32179,29571,2608,8.82,341.478,245.394
29413,26576,2837,10.68,317.072,227.855
29193,26484,2709,10.23,306.971,220.597
34446,32135,2311,7.19,358.075,257.322
35275,33144,2131,6.43,374.205,268.912
35149,32896,2253,6.85,377.077,270.977
35739,33307,2432,7.3,383.442,275.551
34862,32316,2546,7.88,377.138,271.02
32114,29523,2591,8.78,353.717,254.189
31104,28977,2127,7.34,337.522,242.551
35560,32213,3347,10.39,361.999,260.141
33865,29978,3887,12.97,348.55,250.477
34704,30150,4554,15.11,349.088,250.863
35142,30430,4712,15.48,350.178,251.647
35123,31548,3575,11.33,358.174,257.393
31794,27810,3984,14.33,333.172,239.425
31694,27905,3789,13.58,320.712,230.472
35227,32521,2706,8.32,367.428,264.042
35411,32242,3169,9.83,369.604,265.607
36224,30319,5905,19.48,352.744,253.491
36483,32116,4367,13.6,364.057,261.62
37486,32971,4515,13.69,374.886,269.402
32902,28860,4042,14.01,321.919,262.332
32488,28856,3632,12.59,309.668,252.348
37498,32958,4540,13.78,348.832,284.262
36955,32409,4546,14.03,350.46,285.59
37945,33916,4029,11.88,358.025,291.753
38674,34889,3785,10.85,367.088,299.14
34770,30068,4702,15.64,334.604,272.669
32858,29548,3310,11.2,323.667,263.755
33490,29408,4082,13.88,317.096,258.401
37502,33355,4147,12.43,350.141,285.329
36341,32126,4215,13.12,346.883,282.674
36513,31095,5418,17.42,338.179,275.581
35273,31680,3593,11.34,340.793,277.712
35772,30877,4895,15.85,335.714,273.572
33122,27686,5436,19.63,307.399,250.498
32635,27673,4962,17.93,299.822,244.324
37468,33703,3765,11.17,348.695,284.15
37996,34739,3257,9.38,368.608,300.378
39258,35601,3657,10.27,377.364,307.513
39662,35959,3703,10.3,384.09,312.994
40008,35928,4080,11.36,382.262,311.505
35113,30923,4190,13.55,349.223,284.582
33049,28305,4744,16.76,317.445,258.685
37104,31688,5416,17.09,339.907,276.99
36804,33290,3514,10.56,351.381,286.34
36928,32816,4112,12.53,350.162,285.346
37640,33465,4175,12.48,356.885,290.825
38530,34963,3567,10.2,366.75,298.864
34155,30553,3602,11.79,342.722,279.283
33522,30083,3439,11.43,327.882,267.19
38849,35215,3634,10.32,355.35,291.76
39935,35052,4883,13.93,359.015,294.768
38706,33953,4753,14,348.871,286.44
39052,34157,4895,14.33,352.368,289.31
39567,33853,5714,16.88,350.28,287.596
34449,30014,4435,14.78,322.884,265.104
34278,29965,4313,14.39,312.81,256.831
39621,35166,4455,12.67,354.286,290.886
39052,34886,4166,11.94,360.449,295.946
39164,35267,3897,11.05,363.084,298.11
38719,34564,4155,12.02,359.087,294.828
39970,35638,4332,12.16,360.127,295.682
36491,31353,5138,16.39,334.682,274.79
34198,30941,3257,10.53,321.452,263.927
39898,36261,3637,10.03,364.893,299.594
